sample_id,config,accurate,latency,cost,tree_cost,has_tree
multihop-291,A1,0.0,1.861907958984375,0.00018486,0.0,0
multihop-292,A1,1.0,1.231544017791748,0.00022056,0.0,0
multihop-293,A1,1.0,1.8509571552276611,0.00020622,0.0,0
multihop-294,A1,1.0,2.7963321208953857,0.00017778,0.0,0
multihop-295,A1,0.0,2.7720069885253906,0.0001842,0.0,0
multihop-296,A1,1.0,17.155874967575073,0.00022056,0.0,0
multihop-297,A1,1.0,4.6234071254730225,0.00016901999999999998,0.0,0
multihop-298,A1,0.0,1.100050926208496,0.00023213999999999998,0.0,0
multihop-299,A1,0.0,1.926032304763794,0.00019529999999999998,0.0,0
multihop-300,A1,0.0,1.0496981143951416,0.00019091999999999997,0.0,0
multihop-301,A1,1.0,2.621568202972412,0.00016007999999999997,0.0,0
multihop-302,A1,0.0,1.8335340023040771,0.00020225999999999998,0.0,0
multihop-303,A1,1.0,1.3364779949188232,0.00016416,0.0,0
multihop-304,A1,1.0,13.27359914779663,0.00016176,0.0,0
multihop-305,A1,0.0,3.990593671798706,0.00015738,0.0,0
multihop-306,A1,1.0,23.08411979675293,0.00021131999999999998,0.0,0
multihop-307,A1,1.0,5.772701025009155,0.00019908,0.0,0
multihop-308,A1,1.0,1.412538766860962,0.00018546,0.0,0
multihop-309,A1,1.0,16.616740226745605,0.0002226,0.0,0
multihop-310,A1,1.0,1.749443769454956,0.00018858,0.0,0
multihop-311,A1,0.0,1.8792860507965088,0.00021281999999999999,0.0,0
multihop-312,A1,1.0,1.9065930843353271,0.00020724,0.0,0
multihop-313,A1,0.0,0.7127869129180908,0.00018804,0.0,0
multihop-314,A1,1.0,25.217453956604004,0.00020477999999999997,0.0,0
multihop-315,A1,1.0,2.204416036605835,0.00019122,0.0,0
multihop-316,A1,1.0,1.4214341640472412,0.00020148,0.0,0
multihop-317,A1,0.0,1.986299991607666,0.0001824,0.0,0
multihop-318,A1,0.0,1.2600250244140625,0.00021252,0.0,0
multihop-319,A1,1.0,2.7346408367156982,0.00019392000000000001,0.0,0
multihop-320,A1,0.0,1.35611891746521,0.00016944,0.0,0
multihop-321,A1,1.0,1.6458542346954346,0.0001923,0.0,0
multihop-322,A1,1.0,2.3558337688446045,0.0002217,0.0,0
multihop-323,A1,1.0,3.4819860458374023,0.00019025999999999998,0.0,0
multihop-324,A1,0.0,1.5656788349151611,0.00018137999999999997,0.0,0
multihop-325,A1,1.0,0.9185662269592285,0.00020418,0.0,0
